vote,content_type_name,project_id,parent_content_type_name,user_id
yes,entry,266,challenge,115861
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,90155
yes,entry,266,challenge,89390
yes,entry,266,challenge,89390
yes,entry,266,challenge,89390
yes,entry,266,challenge,115888
yes,entry,266,challenge,115888
yes,entry,266,challenge,115888
yes,entry,266,challenge,89155
yes,entry,266,challenge,89155
yes,entry,266,challenge,89155
yes,entry,266,challenge,115893
yes,entry,266,challenge,115893
yes,entry,266,challenge,115893
yes,entry,266,challenge,89393
yes,entry,266,challenge,89393
yes,entry,266,challenge,89393
yes,entry,266,challenge,43794
yes,entry,266,challenge,43794
yes,entry,266,challenge,43794
yes,entry,266,challenge,115897
yes,entry,266,challenge,115897
yes,entry,266,challenge,115897
yes,entry,266,challenge,115899
yes,entry,266,challenge,115899
yes,entry,266,challenge,115899
yes,entry,266,challenge,115900
yes,entry,266,challenge,115900
yes,entry,266,challenge,115900
yes,entry,266,challenge,115903
yes,entry,266,challenge,115903
yes,entry,266,challenge,115903
yes,entry,266,challenge,115911
yes,entry,266,challenge,115911
yes,entry,266,challenge,115911
yes,entry,266,challenge,115914
yes,entry,266,challenge,115914
yes,entry,266,challenge,115914
yes,entry,266,challenge,115910
yes,entry,266,challenge,115910
yes,entry,266,challenge,115910
yes,entry,266,challenge,115919
yes,entry,266,challenge,115919
yes,entry,266,challenge,115919
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,116045
yes,entry,266,challenge,116045
yes,entry,266,challenge,116045
yes,entry,266,challenge,116096
yes,entry,266,challenge,116096
yes,entry,266,challenge,116096
yes,entry,266,challenge,116096
yes,entry,266,challenge,116096
yes,entry,266,challenge,116096
yes,entry,266,challenge,116096
yes,entry,266,challenge,116100
yes,entry,266,challenge,116100
yes,entry,266,challenge,116100
yes,entry,266,challenge,116101
yes,entry,266,challenge,116101
yes,entry,266,challenge,116101
yes,entry,266,challenge,116104
yes,entry,266,challenge,116104
yes,entry,266,challenge,116104
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
yes,entry,266,challenge,407
