,action,project_ids,user_id
1148,follow,271,88242
1149,follow,267,88242
1150,follow,268,88242
1151,follow,271,88250
1152,follow,271,88259
1153,follow,266,88299
1154,follow,271,88304
1155,follow,271,88308
1156,follow,272,88316
1157,follow,268,88316
1158,follow,264,88316
1159,follow,271,88316
1160,follow,272,88321
1161,follow,271,88321
1162,follow,266,88321
1163,follow,272,88325
1164,follow,271,88325
1165,follow,268,88325
1166,follow,267,88325
1167,follow,266,88325
1168,follow,264,88325
1169,follow,271,88348
1170,follow,272,88354
1171,follow,271,88354
1172,follow,268,88354
1173,follow,266,88354
1174,follow,271,88355
1175,follow,155,88364
1176,follow,149,88364
1177,follow,166,88364
1178,follow,266,88364
1179,follow,271,88369
1180,follow,271,88304
1181,follow,166,88440
1182,follow,250,88440
1183,follow,149,88440
1184,follow,272,88442
1185,follow,268,88442
1186,follow,155,88445
1187,follow,266,88445
1188,follow,266,88467
1189,follow,272,88469
1190,follow,267,88469
1191,follow,268,88469
1192,follow,271,88469
1193,follow,266,88469
1194,follow,264,88469
1195,follow,271,88475
1196,follow,155,88476
1197,follow,266,88476
1198,follow,266,88483
1199,follow,250,88483
1200,follow,166,88483
1201,follow,149,88483
1202,follow,155,88483
1203,follow,157,88483
1204,follow,272,88480
1205,follow,271,88484
1206,follow,271,88304
1207,follow,271,88488
1208,follow,266,88492
1209,follow,264,88492
1210,follow,271,88492
1211,follow,272,88492
1212,follow,268,88492
1213,follow,271,88493
1214,follow,271,88495
1215,follow,271,88497
1216,follow,157,88498
1217,follow,271,88502
1218,follow,266,88504
1219,follow,250,88504
1220,follow,155,88504
1221,follow,149,88504
1222,follow,264,88505
1223,follow,263,88505
1224,follow,208,88505
1225,follow,211,88505
1226,follow,271,88508
1227,follow,268,88510
1228,follow,266,88510
1229,follow,272,88510
1230,follow,272,83990
1231,follow,271,83990
1232,follow,268,83990
1233,follow,264,83990
1234,follow,266,83990
1235,follow,267,83990
1236,follow,271,88511
1237,follow,271,88512
1238,follow,266,88514
1239,follow,155,88514
1240,follow,266,88515
1241,follow,155,88515
1242,follow,149,88515
1243,follow,267,88518
1244,follow,267,88524
1245,follow,211,88524
1246,follow,266,88504
1247,follow,271,88529
1248,follow,267,88531
1249,follow,271,88532
1250,follow,267,88535
1251,follow,264,88535
1252,follow,211,88535
1253,follow,208,88535
1254,follow,263,88535
1255,follow,272,88535
1256,follow,271,88537
1257,follow,267,88539
1258,follow,264,88539
1259,follow,211,88539
1260,follow,272,88539
1261,follow,267,88540
1262,follow,271,88543
1263,follow,271,88548
1264,follow,271,88552
1265,follow,271,88553
1266,follow,271,88554
1267,follow,271,88556
1268,follow,271,88555
1269,follow,271,88558
1270,follow,271,88560
1271,follow,271,88564
1272,follow,271,88565
1273,follow,271,88566
1274,follow,271,88568
1275,follow,271,88569
1276,follow,271,88570
1277,follow,271,88572
1278,follow,271,88573
1279,follow,271,88576
1280,follow,271,88577
1281,follow,266,88581
1282,follow,157,88581
1283,follow,271,88580
1284,follow,271,88583
1285,follow,271,88588
1286,follow,271,88593
1287,follow,271,88598
1288,follow,271,88599
1289,follow,271,88606
1290,follow,271,88605
1291,follow,271,88608
1292,follow,166,88612
1293,follow,266,88612
1294,follow,250,88612
1295,follow,157,88612
1296,follow,155,88612
1297,follow,149,88612
1298,follow,271,88615
1299,follow,271,88613
1300,follow,271,88615
1301,follow,271,88625
1302,follow,271,88631
1303,follow,271,88630
1304,follow,271,88632
1305,follow,271,88640
1306,follow,271,88641
1307,follow,271,88643
1308,follow,267,88646
1309,follow,264,88646
1310,follow,272,88646
1311,follow,271,88665
1312,follow,271,88692
1313,follow,266,88712
1314,follow,272,88712
1315,follow,271,88715
1316,follow,271,88716
1317,follow,271,88717
1318,follow,271,88718
1319,follow,268,88731
1320,follow,271,88731
1321,follow,271,88759
1322,follow,271,88763
1323,follow,272,88763
1324,follow,268,88763
1325,follow,267,88763
1326,follow,266,88763
1327,follow,264,88763
1328,follow,271,88764
1329,follow,268,88771
1330,follow,267,88771
1331,follow,266,88771
1332,follow,264,88771
1333,follow,250,88782
1334,follow,166,88782
1335,follow,157,88782
1336,follow,149,88782
1337,follow,266,88782
1338,follow,155,88782
1339,follow,266,88784
1340,follow,166,88784
1341,follow,155,88784
1342,follow,271,88788
1343,follow,271,88792
1344,follow,271,88793
1345,follow,271,88798
1346,follow,271,88805
1347,follow,268,88805
1348,follow,266,88805
1349,follow,268,88817
1350,follow,272,88817
1351,follow,271,88817
1352,follow,267,88817
1353,follow,266,88817
1354,follow,264,88817
1355,follow,272,88828
1356,follow,271,88828
1357,follow,267,88828
