action,project_ids,user_id
follow,[278],90268
follow,"[277, 276, 278]",90270
follow,"[275, 278, 279]",90266
follow,"[279, 278]",90268
follow,"[279, 278, 275, 271]",90272
follow,"[279, 278, 275, 277, 271]",90273
follow,[278],90269
follow,"[277, 279, 275, 278, 276]",90276
follow,"[279, 278, 277]",90274
follow,"[279, 277, 276, 278, 271]",90277
follow,"[278, 279, 277, 276, 271, 275]",90275
follow,"[279, 278, 277]",90274
follow,"[279, 276, 271, 277, 275, 278]",90278
follow,"[279, 278, 275, 276, 277, 271]",90279
follow,"[279, 278]",90280
follow,"[279, 278, 275, 276, 271]",90281
follow,[278],90282
follow,[278],90283
follow,[278],90284
follow,[278],90286
follow,"[278, 275, 277, 271]",90288
follow,"[278, 279]",90290
follow,[278],90289
follow,"[279, 275]",90291
follow,"[278, 279, 275, 277, 271, 276]",90292
follow,"[279, 278, 275, 271, 276, 277]",90295
follow,"[278, 275, 279, 277, 276, 271]",90297
follow,"[279, 275, 277]",90301
follow,"[278, 277, 276]",90302
follow,[278],90304
follow,"[275, 278]",90299
follow,[278],90307
follow,[278],90310
follow,[278],90308
follow,[278],90312
follow,[278],90315
follow,[278],90317
follow,[275],90318
follow,"[275, 278, 277, 276]",90314
follow,[275],90318
follow,[278],90319
follow,[278],90320
follow,[278],90321
follow,"[278, 276, 271, 279]",90322
follow,[278],90323
follow,"[275, 271, 278, 279]",90325
follow,"[279, 278, 277]",90327
follow,[279],90328
follow,[279],90326
follow,[279],90328
follow,"[279, 275, 278, 276, 271]",90330
follow,"[277, 279, 275]",90329
follow,"[278, 275]",90332
follow,"[275, 278, 276]",90336
follow,[279],90338
follow,[278],90340
follow,[278],90341
follow,[278],90346
follow,"[278, 275, 271]",90348
follow,[278],90350
follow,"[278, 276, 279, 277, 275, 271]",90351
follow,"[279, 271, 275, 278, 276, 277]",90349
follow,"[279, 278, 277, 276, 271, 275]",90343
follow,[278],90354
follow,"[278, 279]",90355
follow,"[279, 275, 277, 271, 278]",90352
follow,[278],90357
follow,"[279, 278, 275, 277, 276, 271]",90356
follow,[278],90361
follow,"[275, 271, 279, 278, 276, 277]",90358
follow,"[279, 275, 278, 277, 276, 271]",90362
follow,[275],90364
follow,"[278, 275, 279]",90365
follow,"[279, 278, 276, 277, 271, 275]",90366
follow,"[275, 277, 278, 279]",90363
follow,[278],90368
follow,[278],90369
follow,[278],90370
follow,"[278, 279, 277, 276, 275, 271]",90367
follow,"[279, 278]",90372
follow,[278],90370
follow,[278],90357
follow,"[279, 278, 277]",90374
follow,[278],90375
follow,"[279, 278, 275]",90376
follow,[278],90373
follow,"[277, 276, 271]",90378
follow,"[279, 278, 276, 277, 271, 275]",90379
follow,[271],90359
follow,"[279, 278]",90381
follow,"[275, 278]",90384
follow,"[279, 278, 275, 277, 276, 271]",90385
follow,"[278, 279, 275]",90383
follow,"[279, 275]",90386
follow,"[276, 277, 279, 278, 275, 271]",90388
follow,"[278, 275]",90392
follow,"[278, 275]",90393
follow,"[275, 278, 279, 271, 277, 276]",90394
follow,"[278, 277, 276]",90395
follow,"[279, 275, 278]",90396
follow,"[279, 278, 275, 276, 277]",90397
follow,"[275, 278]",90399
follow,[279],90401
follow,"[278, 279]",90402
follow,[279],90404
follow,"[275, 276, 277, 279]",90404
follow,[279],90407
follow,"[276, 277, 279, 278, 275]",90408
follow,"[278, 275, 279]",90410
follow,[278],90411
follow,[278],90415
follow,"[279, 275, 276, 277, 278, 271]",90414
follow,[278],90413
follow,[278],90417
follow,[277],90418
follow,"[278, 277]",90420
follow,"[279, 278, 271, 276, 277, 275]",90423
follow,"[278, 277, 279]",90424
follow,[278],90426
follow,"[278, 275, 279]",90427
follow,"[279, 278, 271]",90430
follow,"[279, 275, 277, 271]",90429
follow,"[279, 278, 277]",90431
follow,"[275, 278, 279]",90433
follow,[279],90434
follow,[279],90435
follow,"[279, 278]",90437
follow,"[275, 279, 276, 277]",90438
follow,"[279, 278, 275, 277, 276, 271]",90441
follow,"[279, 278, 275, 277, 276, 271]",90442
follow,"[275, 279]",90443
follow,"[279, 278, 275]",90445
follow,"[271, 277, 275, 278]",90446
follow,[278],90447
follow,"[279, 278, 275, 276, 277, 271]",90448
follow,[278],90449
follow,"[278, 275]",90451
follow,"[279, 278, 275, 277, 271]",90454
follow,"[279, 278, 275, 277, 276, 271]",90455
follow,[278],90457
follow,[278],90453
follow,"[279, 278]",90459
follow,"[278, 276, 279, 277, 275]",90460
follow,"[277, 278, 271]",90458
follow,"[278, 276]",90462
follow,"[278, 277]",90461
follow,"[279, 278, 275, 277, 271]",90463
follow,"[279, 278, 275, 277, 276, 271]",90464
follow,"[276, 277, 275]",90465
follow,[277],90468
follow,"[279, 278, 275, 271, 276, 277]",90471
follow,"[278, 279, 276, 277]",90469
follow,"[275, 277, 279, 278]",90466
follow,"[279, 278, 275, 277, 271]",90472
follow,[279],90473
follow,"[279, 275, 276, 271, 277]",90475
follow,"[279, 278, 275, 277]",90467
follow,"[278, 279, 275, 271, 276, 277]",90475
follow,"[279, 278, 277, 276]",90474
follow,"[275, 278, 279]",90478
follow,"[279, 278, 275, 277, 271]",90478
follow,"[279, 278]",90479
follow,"[279, 278, 275]",90482
follow,"[271, 278, 277]",90481
follow,"[279, 278, 275]",90482
follow,"[279, 278, 275]",90484
follow,[278],90486
follow,"[279, 278, 275, 277, 276, 271]",90488
follow,"[278, 275, 277]",90490
